input_ville,input_pays,input_aeroport,climat_details,hebergement_moyen_eur_nuit,periode_recommandee,prix_vol_par_mois,tags
Milan,Italy,Paris (CDG),"Milan possède un climat modérément continental, avec des étés chauds et humides (températures maximales moyennes de 29°C en juillet) et des hivers froids et parfois neigeux (températures minimales moyennes de -1,9°C à 9°C en décembre, janvier et février). Les précipitations sont réparties tout au long de l'année, avec des maximums au printemps et en automne.",110,D'avril à juin et de septembre à octobre,"[75, 60, 55, 90, 110, 120, 130, 140, 65, 95, 80, 100]","[""Mode"", ""Culture"", ""Art"", ""Gastronomie"", ""Shopping"", ""Architecture"", ""Duomo"", ""Navigli""]"
Yasawa Islands,Fiji,Paris (CDG),"Climat tropical maritime avec des températures chaudes (25°C à 31°C) toute l'année. La saison sèche, de mai à octobre, offre un temps ensoleillé et une humidité plus faible. La saison des pluies, de novembre à avril, est caractérisée par des précipitations abondantes et des risques occasionnels de cyclones.",250,Mai à Octobre,"[2200, 1500, 1300, 1200, 1100, 1400, 1600, 1500, 1400, 1400, 1700, 1900]","[""plages"", ""snorkeling"", ""plongée"", ""grottes"", ""randonnée"", ""culture_locale"", ""raies_manta"", ""détente""]"
Whistler,Canada,Paris (CDG),"Whistler a un climat continental froid avec des étés secs et tempérés. Les hivers sont froids et humides avec d'importantes chutes de neige, les températures moyennes varient de -2°C à -8°C dans le village. Les étés sont doux et secs, juillet étant le mois le plus chaud avec une moyenne de 19°C. Les précipitations sont les plus élevées en novembre et les plus faibles en juillet.",250,"Décembre à Avril (pour le ski), Mai à Septembre (pour les activités estivales)","[600, 590, 750, 650, 685, 700, 750, 750, 680, 650, 700, 680]","[""Ski"", ""Snowboard"", ""Randonnée"", ""VTT"", ""PEAK 2 PEAK"", ""Activités hivernales"", ""Activités estivales"", ""Nature"", ""Montagne"", ""Culture""]"
Guanajuato,Mexico,Paris (CDG),"Guanajuato bénéficie d'un climat agréable avec des températures douces toute l'année. La meilleure période est de février à mai, caractérisée par un temps sec. La saison chaude s'étend d'avril à juin, avec mai étant le mois le plus chaud (max 28°C). La saison des pluies a lieu de juin à septembre, avec un pic en juillet, tandis que la saison sèche va de novembre à mai. Janvier est le mois le plus froid (min 9°C).",65,Novembre à Mai,"[980, 908, 870, 900, 850, 930, 1000, 990, 820, 800, 780, 1050]","[""historique"", ""culturel"", ""architecture coloniale"", ""ville colorée"", ""artistique""]"
Surabaya,Indonesia,Paris (CDG),"Surabaya bénéficie d'un climat tropical, chaud et humide toute l'année. La saison sèche s'étend de mai/juin à octobre, avec des températures moyennes variant de 32°C à 35°C. La saison des pluies, avec des précipitations importantes, a lieu d'octobre/novembre à mai.",14.8,Mai à Octobre,"[576, 955, 0, 0, 0, 0, 0, 0, 362, 0, 364, 362]","[""Culture"", ""Volcans"", ""Nature"", ""Shopping"", ""Gastronomie"", ""Histoire""]"
Nuuk,Greenland,Paris (CDG),"Nuuk bénéficie d'un climat polaire de toundra. Les étés sont frais (températures moyennes de 5°C à 9°C), humides et pluvieux, tandis que les hivers sont longs, glacials, neigeux et venteux (températures moyennes de -11°C à -7°C). Le temps est souvent couvert.",155,Juin à Août (pour activités estivales) ou Octobre à Mars (pour aurores boréales),"[1400, 1300, 1200, 1150, 1100, 1500, 1600, 1550, 1050, 1200, 1192, 1900]","[""Aurores Boréales"", ""Randonnée"", ""Fjords""]"
Windhoek,Namibia,Paris (CDG),"Climat subtropical aride tempéré par l'altitude. La saison sèche s'étend d'avril à novembre, offrant des températures agréables en journée (entre 20°C et 28°C) et des nuits fraîches, particulièrement de mai à août où elles peuvent descendre sous zéro. La saison des pluies, plus chaude, va de décembre à mars.",50,Avril à Novembre,"[960, 920, 873, 910, 970, 870, 1150, 1236, 1000, 980, 930, 1050]","[""Safari"", ""Nature"", ""Culture"", ""Désert""]"
Kingston,Jamaica,Paris (CDG),"Climat tropical avec une saison sèche (novembre à avril) et une saison humide (mai à octobre). Il fait chaud toute l'année, avec des températures moyennes variant de 31°C à 33°C. Les mois les plus pluvieux sont mai, septembre et octobre, mais les averses, bien que parfois intenses, sont souvent brèves, laissant place à un ensoleillement moyen de 7 à 9 heures par jour.",141,Novembre à Avril,"[850, 800, 800, 900, 900, 900, 1000, 1121, 750, 800, 756, 1050]","[""Reggae"", ""Culture"", ""Histoire"", ""Nature"", ""Gastronomie"", ""Plages""]"
Nafplio,Greece,Paris (CDG),Climat méditerranéen avec des étés chauds et secs (températures moyennes de 24°C à 32°C en juillet/août) et des hivers doux et humides (températures moyennes de 6°C à 13°C en janvier). Les précipitations sont plus élevées en hiver et les étés sont généralement secs et ensoleillés.,110,Mai à Juin et Septembre à Octobre,"[132, 150, 90, 180, 200, 250, 280, 307, 149, 170, 161, 170]","[""histoire"", ""romantique"", ""plages"", ""gastronomie"", ""vieille ville"", ""sites archéologiques""]"
Tbilisi,Georgia,Paris (CDG),"Tbilissi connaît des étés chauds et secs (jusqu'à 31°C en juillet), des hivers longs, très froids et partiellement nuageux (jusqu'à -2°C en janvier). Le printemps et l'automne offrent un climat doux. Mai est le mois le plus pluvieux, décembre le moins pluvieux.",50,Mai à Octobre (idéal de Juillet à Septembre),"[255, 270, 290, 330, 380, 350, 420, 480, 390, 340, 300, 320]","[""Culture"", ""Histoire"", ""Gastronomie""]"
