id_destination,name,categories,description,address,type,estimated_price_euro,price_range,latitude,longitude
c54acf38-3029-496b-8c7a-8343ad82785c,Cathédrale de Milan,"[""culture"", ""urbain""]","La majestueuse Cathédrale de Milan est un chef-d'œuvre de l'architecture gothique. Admirez ses flèches imposantes, ses vitraux colorés et ses milliers de statues. Montez sur les terrasses pour une vue panoramique époustouflante sur la ville, un moment inoubliable au cœur de Milan. Son histoire millénaire fascine tous les visiteurs.","Piazza del Duomo, 20122 Milano MI, Italie",Cathédrale,16.0,€€,45.4641943,9.1918346
c54acf38-3029-496b-8c7a-8343ad82785c,La Cène de Léonard de Vinci,"[""culture""]","Découvrez le chef-d'œuvre intemporel de Léonard de Vinci, ""La Cène"", abrité dans le réfectoire du couvent de Santa Maria delle Grazie. Cette fresque emblématique capture un moment dramatique avec une intensité émotionnelle inégalée. Une réservation préalable est essentielle pour admirer cette œuvre d'art mondialement célèbre et méditer sur sa grandeur historique.","Piazza di Santa Maria delle Grazie, 2, 20123 Milano MI, Italie",Peinture Murale / Site du Patrimoine Mondial,15.0,€€,45.46603,9.17066
c54acf38-3029-496b-8c7a-8343ad82785c,Galeries Victor Emmanuel II,"[""urbain"", ""culture"", ""gastronomie""]","Explorez les somptueuses Galeries Victor Emmanuel II, un passage couvert du XIXe siècle, considéré comme l'un des plus anciens centres commerciaux du monde. Admirez son architecture spectaculaire, ses mosaïques au sol et sa coupole en verre. Flânez entre les boutiques de luxe, les cafés historiques et les restaurants gastronomiques, un symbole d'élégance milanaise.","Piazza del Duomo, 20123 Milano MI, Italie",Galerie Commerciale / Monument,0.0,Gratuit,45.4658,9.1906
c54acf38-3029-496b-8c7a-8343ad82785c,Château des Sforza,"[""culture"", ""urbain"", ""nature""]","Plongez dans l'histoire au Château des Sforza, une forteresse médiévale transformée en résidence ducale. Il abrite plusieurs musées, dont la Pietà Rondanini de Michel-Ange. Promenez-vous dans ses cours majestueuses et le vaste Parco Sempione attenant, offrant un havre de paix verdoyant au cœur de la ville. Un lieu de découverte culturelle et de détente.","Piazza Castello, 20121 Milano MI, Italie",Château / Musée / Parc,5.0,€,45.4705,9.1793
c54acf38-3029-496b-8c7a-8343ad82785c,Quartier des Navigli,"[""vie nocturne"", ""gastronomie"", ""urbain""]","Explorez le pittoresque Quartier des Navigli, célèbre pour ses canaux historiques conçus en partie par Léonard de Vinci. C'est l'endroit idéal pour une promenade romantique, découvrir des boutiques d'antiquités uniques ou profiter d'un ""aperitivo"" milanais. Le soir, les rives s'animent avec des bars et restaurants branchés, offrant une ambiance vibrante et authentique.","Alzaia Naviglio Grande, 20144 Milano MI, Italie",Quartier Historique / Vie Nocturne,20.0,€€,45.4518,9.1798
0bd12654-ed64-424e-a044-7bc574bcf078,Grottes de Sawa-i-Lau,"[""aventure"", ""nature"", ""culture""]","Explorez les mystérieuses Grottes de Sawa-i-Lau, des cavernes calcaires sacrées au cœur des Yasawa. Nagez dans des piscines naturelles d'eau douce et admirez les formations rocheuses impressionnantes, imprégnées de légendes locales. Une expérience rafraîchissante et fascinante, offrant un aperçu unique de la géologie et de la culture fidjienne.","Sawa-i-Lau Island, Yasawa Islands, Fidji","Site naturel, Grotte",40.0,€€,-16.9926,177.3807
0bd12654-ed64-424e-a044-7bc574bcf078,Plage du Lagon Bleu (Nanuya Lailai),"[""plages"", ""nature""]","Détendez-vous sur la magnifique Plage du Lagon Bleu, rendue célèbre par le cinéma. Ses eaux turquoise peu profondes et son sable blanc immaculé en font un paradis idyllique pour la baignade, la plongée avec tuba et le farniente. Un lieu parfait pour admirer la vie marine colorée ou simplement profiter du soleil et de la sérénité fidjienne.","Nanuya Lailai Island, Yasawa Islands, Fidji",Plage,0.0,Gratuit,-17.0691,177.2985
0bd12654-ed64-424e-a044-7bc574bcf078,Nager avec les Raies Manta,"[""aventure"", ""nature""]","Vivez une rencontre inoubliable en nageant aux côtés des majestueuses raies manta dans les eaux claires du Manta Ray Pass. Ces doux géants visitent la zone pour se nourrir, offrant une opportunité unique d'observation respectueuse. Une aventure marine incroyable, guidée par des experts, qui crée des souvenirs éternels de la biodiversité des Fidji.","Manta Ray Pass, entre Nanuya Balavu et Drawaqa Island, Yasawa Islands, Fidji",Expérience aquatique,100.0,€€€,-17.1593,177.2476
0bd12654-ed64-424e-a044-7bc574bcf078,Visite du Village de Gunu,"[""culture"", ""nature""]","Plongez au cœur de la culture fidjienne authentique avec une visite du Village de Gunu sur l'île de Naviti. Participez à une cérémonie traditionnelle du kava, rencontrez les habitants chaleureux et découvrez leur mode de vie insulaire. Une occasion enrichissante d'apprécier l'hospitalité fidjienne, les coutumes locales et la simplicité de la vie.","Gunu Village, Naviti Island, Yasawa Islands, Fidji","Village, Expérience culturelle",30.0,€,-17.3812,177.2519
0bd12654-ed64-424e-a044-7bc574bcf078,Randonnée au Sommet de Wayalailai,"[""aventure"", ""nature""]","Embarquez pour une randonnée revigorante jusqu'au sommet de Wayalailai Island. Le sentier serpente à travers une végétation luxuriante, dévoilant des vues panoramiques spectaculaires sur les îles Yasawa environnantes et l'océan azur. Une récompense magnifique après l'effort, offrant des opportunités photographiques incroyables et une immersion totale dans la nature sauvage.","Wayalailai Island, Yasawa Islands, Fidji","Randonnée, Point de vue",15.0,€,-17.51,177.07
73036cda-9134-46fc-a2c6-807782d59dfb,Ski et Snowboard à Whistler Blackcomb,"[""aventure"", ""nature""]","Découvrez les pistes légendaires de Whistler Blackcomb, le plus grand domaine skiable d'Amérique du Nord. Profitez de la poudreuse fraîche et des vues imprenables sur les montagnes. Des débutants aux experts, c'est l'endroit idéal pour des sensations fortes hivernales inoubliables. Une expérience emblématique de Whistler à ne pas manquer.","4545 Blackcomb Way, Whistler, BC V8E 0X9, Canada",Station de ski,180.0,€€€€,50.1088,-122.9467
73036cda-9134-46fc-a2c6-807782d59dfb,Scandinave Spa Whistler,"[""bien-être"", ""nature""]","Offrez-vous une expérience de relaxation profonde au Scandinave Spa Whistler, niché au cœur de la forêt boréale. Suivez le circuit thermique avec bains chauds, froids et salles de relaxation pour revitaliser corps et esprit. Un havre de paix pour se ressourcer après une journée d'aventure en montagne et se reconnecter à la nature.","8010 Mons Rd, Whistler, BC V8E 1K1, Canada",Spa,75.0,€€€,50.1251,-122.9691
73036cda-9134-46fc-a2c6-807782d59dfb,Centre Culturel Squamish Lil'wat,"[""culture""]","Explorez l'histoire et les traditions des Premières Nations Squamish et Lil'wat dans ce centre culturel captivant. Admirez l'art autochtone, écoutez des contes ancestraux et participez à des ateliers interactifs. Une immersion enrichissante dans le patrimoine autochtone de la région de Whistler, offrant une perspective unique et éducative sur la culture locale.","4584 Blackcomb Way, Whistler, BC V8E 0Y3, Canada",Centre culturel,20.0,€€,50.1207,-122.9554
